id,data_type,loan_type,purchased_bal_gp,district,payer_3yr,balance_proxy,raw_repay_prob,calibrated_repay_prob,predicted_payer_flag,expected_value_proxy,gross_high_priority_agent_call,net_high_priority_agent_call,gross_medium_priority_auto_dialer,net_medium_priority_auto_dialer,gross_low_priority_sms_email,net_low_priority_sms_email,recommended_action,expected_gross_recovery,expected_net_recovery,recommended_contact_cost,policy_rank
32,T,Personal Loan,03. <=25k,WONG TAI SIN,N,17500,0.11117494,0.02630817628602622,N,460.39308500545883,161.13757975191058,76.13757975191058,116.0190574213756,104.0190574213756,56.3981529131687,54.8981529131687,Write-off / Ignore,0.0,0.0,0.0,0
6244,T,Credit Card,03. <=25k,LAM TIN,N,17500,0.111046486,0.026281628875525178,N,459.92850532169064,160.97497686259172,75.97497686259172,115.90198334106603,103.90198334106603,56.3412419019071,54.8412419019071,Write-off / Ignore,0.0,0.0,0.0,0
3012,T,Credit Card,03. <=25k,HO MAN TIN,N,17500,0.111014694,0.026275058498346843,N,459.81352372106977,160.9347333023744,75.93473330237441,115.87300797770958,103.87300797770958,56.32715665583104,54.82715665583104,Write-off / Ignore,0.0,0.0,0.0,0
6917,M,Overdraft,01. <=5k,LAM TIN,N,2500,0.11091979,0.026255444089279715,N,65.6386102231993,22.97351357811975,-62.02648642188025,16.54092977624622,4.5409297762462195,8.040729752341912,6.540729752341912,Write-off / Ignore,0.0,0.0,0.0,0
3429,M,Personal Loan,03. <=25k,TSEUNG KWAN O,N,17500,0.110315144,0.0261304701278643,N,457.2832272376252,160.0491295331688,75.04912953316881,115.23537326388154,103.23537326388154,56.01719533660908,54.51719533660908,Write-off / Ignore,0.0,0.0,0.0,0
6672,T,Credit Card,03. <=25k,LAM TIN,N,17500,0.110301994,0.026127751896782837,N,457.23565819369963,160.03248036779488,75.03248036779488,115.2233858648123,103.2233858648123,56.0113681287282,54.5113681287282,Write-off / Ignore,0.0,0.0,0.0,0
3445,M,Credit Card,03. <=25k,SHAM SHUI PO,N,17500,0.11006116,0.026077968991151574,N,456.3644573451526,159.72756007080338,74.72756007080338,115.00384325097843,103.00384325097843,55.90464602478118,54.40464602478118,Write-off / Ignore,0.0,0.0,0.0,0
6433,M,Credit Card,03. <=25k,SHAM SHUI PO,N,17500,0.109970964,0.026059323512510998,N,456.03816146894246,159.61335651412986,74.61335651412986,114.9216166901735,102.9216166901735,55.864674779945446,54.364674779945446,Write-off / Ignore,0.0,0.0,0.0,0
7912,T,Personal Loan,01. <=5k,TIN SHUI WAI,N,2500,0.10951997,0.02596608823329335,N,64.91522058323338,22.72032720413168,-62.27967279586832,16.35863558697481,4.35863558697481,7.952114521446088,6.452114521446088,Write-off / Ignore,0.0,0.0,0.0,0
7473,M,Credit Card,03. <=25k,TSUEN WAN,N,17500,0.10930773,0.025922206268897095,N,453.6386097056992,158.7735133969947,73.7735133969947,114.31692964583618,102.31692964583618,55.57072968894814,54.07072968894814,Write-off / Ignore,0.0,0.0,0.0,0
3640,T,Personal Loan,03. <=25k,LOK FU,N,17500,0.109191716,0.025898219349411042,N,453.21883861469325,158.62659351514262,73.62659351514262,114.21114733090268,102.21114733090268,55.519307730299914,54.019307730299914,Write-off / Ignore,0.0,0.0,0.0,0
6051,M,Personal Loan,02. <=10k,MA ON SHAN,N,7500,0.10916698,0.025893104838461703,N,194.19828628846278,67.96940020096197,-17.03059979903803,48.93796814469262,36.93796814469262,23.789290070336687,22.289290070336687,Write-off / Ignore,0.0,0.0,0.0,0
2435,M,Credit Card,03. <=25k,NORTH POINT,N,17500,0.10916471,0.025892634979602758,N,453.12111214304826,158.59238925006687,73.59238925006687,114.18652026004814,102.18652026004814,55.507336237523404,54.007336237523404,Write-off / Ignore,0.0,0.0,0.0,0
1626,M,Credit Card,02. <=10k,MA ON SHAN,N,7500,0.1090981,0.025878862597461295,N,194.09146948095972,67.9320143183359,-17.067985681664098,48.91105030920185,36.91105030920185,23.776205011417563,22.276205011417563,Write-off / Ignore,0.0,0.0,0.0,0
6981,M,Credit Card,03. <=25k,MA ON SHAN,N,17500,0.1090925,0.0258777041040958,N,452.85982182167646,158.50093763758676,73.50093763758676,114.12067509906247,102.12067509906247,55.47532817315536,53.97532817315536,Write-off / Ignore,0.0,0.0,0.0,0
207,M,Overdraft,03. <=25k,STANLEY,N,17500,0.10906576,0.025872176588021965,N,452.76309029038435,158.4670816016345,73.4670816016345,114.09629875317684,102.09629875317684,55.46347856057207,53.96347856057207,Write-off / Ignore,0.0,0.0,0.0,0
7984,T,Personal Loan,03. <=25k,TIN SHUI WAI,N,17500,0.10905643,0.02587024626167642,N,452.7293095793373,158.45525835276806,73.45525835276806,114.087786013993,102.087786013993,55.45934042346882,53.95934042346882,Write-off / Ignore,0.0,0.0,0.0,0
3574,M,Credit Card,03. <=25k,CHOI HUNG,N,17500,0.10899403,0.025857343916869502,N,452.5035185452163,158.3762314908257,73.37623149082569,114.03088667339449,102.03088667339449,55.43168102178899,53.93168102178899,Write-off / Ignore,0.0,0.0,0.0,0
12879,M,Credit Card,03. <=25k,SHEUNG WAN,N,17500,0.10891302,0.02584059288496324,N,452.2103754868567,158.27363142039985,73.27363142039985,113.9570146226879,101.9570146226879,55.39577099713995,53.89577099713995,Write-off / Ignore,0.0,0.0,0.0,0
10343,M,Personal Loan,01. <=5k,YAU MA TEI,N,2500,0.10889999,0.025837898327291945,N,64.59474581822987,22.60816103638045,-62.39183896361955,16.277875946193923,4.277875946193923,7.912856362733158,6.412856362733158,Write-off / Ignore,0.0,0.0,0.0,0
12001,M,Credit Card,03. <=25k,WAH FU,N,17500,0.108840495,0.02582559629540993,N,451.94793516967377,158.1817773093858,73.18177730938581,113.89087966275778,101.89087966275778,55.36362205828503,53.86362205828503,Write-off / Ignore,0.0,0.0,0.0,0
1639,M,Credit Card,03. <=25k,TAI PO,N,17500,0.10873706,0.025804207080279456,N,451.5736239048905,158.05076836671165,73.05076836671165,113.79655322403238,101.79655322403238,55.317768928349075,53.817768928349075,Write-off / Ignore,0.0,0.0,0.0,0
6332,T,Overdraft,03. <=25k,NGAU TAU KOK,N,17500,0.1085365,0.025762731878306702,N,450.84780787036726,157.79673275462852,72.79673275462852,113.61364758333254,101.61364758333254,55.22885646411998,53.72885646411998,Write-off / Ignore,0.0,0.0,0.0,0
3480,T,Personal Loan,01. <=5k,TAI PO,N,2500,0.10844429,0.025743662899051268,N,64.35915724762818,22.52570503666986,-62.47429496333014,16.218507626402296,4.218507626402296,7.88399676283445,6.38399676283445,Write-off / Ignore,0.0,0.0,0.0,0
1229,M,Overdraft,02. <=10k,TIN SHUI WAI,N,7500,0.10820043,0.02569323004327627,N,192.699225324572,67.4447288636002,-17.555271136399796,48.560204781792145,36.560204781792145,23.60565510226007,22.10565510226007,Write-off / Ignore,0.0,0.0,0.0,0
8492,T,Overdraft,03. <=25k,YUEN LONG,N,17500,0.10816225,0.025685332742048515,N,449.49332298584903,157.32266304504716,72.32266304504716,113.27231739243395,101.27231739243395,55.0629320657665,53.5629320657665,Write-off / Ignore,0.0,0.0,0.0,0
3490,M,Credit Card,03. <=25k,SHUN LEE,N,17500,0.10775355,0.025600800779559434,N,448.0140136422901,156.8049047748015,71.80490477480151,112.89953143785709,100.89953143785709,54.88171667118053,53.38171667118053,Write-off / Ignore,0.0,0.0,0.0,0
5423,M,Credit Card,03. <=25k,LAM TIN,N,17500,0.10770744,0.02559126268200198,N,447.84709693503464,156.74648392726212,71.74648392726212,112.85746842762872,100.85746842762872,54.86126937454174,53.36126937454174,Write-off / Ignore,0.0,0.0,0.0,0
16004,T,Credit Card,03. <=25k,SHEUNG WAN,N,17500,0.107692786,0.02558823123832813,N,447.7940466707423,156.7279163347598,71.72791633475981,112.84409976102707,100.84409976102707,54.854770717165934,53.354770717165934,Write-off / Ignore,0.0,0.0,0.0,0
5703,M,Personal Loan,01. <=5k,KWAI CHUNG,N,2500,0.107234575,0.025493443820310862,N,63.73360955077715,22.306763342772,-62.693236657228,16.06086960679584,4.0608696067958405,7.8073671699702,6.3073671699702,Write-off / Ignore,0.0,0.0,0.0,0
13717,M,Credit Card,03. <=25k,SHEUNG WAN,N,17500,0.10713802,0.025473468984133926,N,445.7857072223437,156.0249975278203,71.02499752782029,112.3379982200306,100.3379982200306,54.608749134737096,53.108749134737096,Write-off / Ignore,0.0,0.0,0.0,0
5951,M,Credit Card,03. <=25k,MA ON SHAN,N,17500,0.106979296,0.025440629994147954,N,445.2110248975892,155.82385871415622,70.82385871415622,112.19317827419248,100.19317827419248,54.53835054995467,53.03835054995467,Write-off / Ignore,0.0,0.0,0.0,0
7666,M,Overdraft,03. <=25k,SHEUNG WAN,N,17500,0.10696841,0.025438377881297315,N,445.171612922703,155.81006452294605,70.81006452294605,112.18324645652115,100.18324645652115,54.533522583031115,53.033522583031115,Write-off / Ignore,0.0,0.0,0.0,0
6298,M,Credit Card,03. <=25k,CHOI WAN,N,17500,0.1068453,0.025412905819525197,N,444.72585184169094,155.65404814459183,70.65404814459183,112.07091466410611,100.07091466410611,54.478916850607135,52.978916850607135,Write-off / Ignore,0.0,0.0,0.0,0
14104,T,Personal Loan,03. <=25k,SHA TIN,N,17500,0.106588796,0.02535983280593921,N,443.79707410393615,155.32897593637765,70.32897593637765,111.8368626741919,99.8368626741919,54.365141577732174,52.865141577732174,Write-off / Ignore,0.0,0.0,0.0,0
4057,M,Credit Card,03. <=25k,CENTRAL,N,17500,0.106222905,0.02528411842093111,N,442.4720723662944,154.86522532820302,69.86522532820302,111.50296223630617,99.50296223630617,54.20282886487106,52.70282886487106,Write-off / Ignore,0.0,0.0,0.0,0
14717,M,Personal Loan,01. <=5k,LAM TIN,N,2500,0.10620236,0.025279865978238086,N,63.19966494559522,22.119882730958324,-62.880117269041676,15.926315566289993,3.9263155662899933,7.741958955835413,6.241958955835413,Write-off / Ignore,0.0,0.0,0.0,0
1766,M,Overdraft,03. <=25k,NORTH POINT,N,17500,0.10555867,0.02514664425939354,N,440.06627453938694,154.02319608878543,69.02319608878543,110.8967011839255,98.8967011839255,53.9081186310749,52.4081186310749,Write-off / Ignore,0.0,0.0,0.0,0
7098,M,Credit Card,03. <=25k,YUEN LONG,N,17500,0.10525027,0.025082805059338496,N,438.94908853842367,153.63218098844828,68.63218098844828,110.61517031168276,98.61517031168276,53.771263345956896,52.271263345956896,Write-off / Ignore,0.0,0.0,0.0,0
2897,M,Overdraft,03. <=25k,LEI CHENG UK,N,17500,0.10512234,0.025056322302850244,N,438.48564029987926,153.46997410495774,68.46997410495774,110.49838135556958,98.49838135556958,53.71449093673521,52.21449093673521,Write-off / Ignore,0.0,0.0,0.0,0
179,M,Credit Card,03. <=25k,TAI PO,N,17500,0.10508411,0.025048406554476984,N,438.34711470334724,153.42149014617152,68.42149014617152,110.46347290524349,98.46347290524349,53.69752155116003,52.19752155116003,Write-off / Ignore,0.0,0.0,0.0,0
10115,M,Overdraft,03. <=25k,TUEN MUN,N,17500,0.10467352,0.02496339969459004,N,436.8594946553257,152.900823129364,67.900823129364,110.08859265314207,98.08859265314207,53.5152880952774,52.0152880952774,Write-off / Ignore,0.0,0.0,0.0,0
5167,M,Personal Loan,03. <=25k,SHA TIN,N,17500,0.104579985,0.024944032797823014,N,436.52057396190276,152.78220088666595,67.78220088666595,110.00318463839947,98.00318463839947,53.47377031033308,51.97377031033308,Write-off / Ignore,0.0,0.0,0.0,0
4157,M,Overdraft,03. <=25k,TAI WAI,N,17500,0.10435586,0.024897623041804148,N,435.70840323157256,152.4979411310504,67.4979411310504,109.79851761435629,97.79851761435629,53.37427939586764,51.87427939586764,Write-off / Ignore,0.0,0.0,0.0,0
1834,M,Personal Loan,03. <=25k,MA ON SHAN,N,17500,0.10427325,0.024880517350602992,N,435.40905363555237,152.39316877244332,67.39316877244332,109.72308151615918,97.72308151615918,53.33760907035516,51.83760907035516,Write-off / Ignore,0.0,0.0,0.0,0
